WKT,osm_id,access,amenity,name,operator,operational_status,watsan:availability,watsan:cost,watsan:location,watsan:type,watsan:water_private,watsan:water_public,opening_hours,operator:type
POINT (36.856603015003309 -1.263126231029263),4502126570,,drinking_water,Jalego,,operational,,Ksh. 2 per 20 Litres,,piped_tap,yes,,"05:00-06:00,19:00-22:00",
POINT (36.856886972464622 -1.263207688425547),4503959140,,drinking_water,Imara Self Help Group,,,never,,public_community,water_tank,,yes,,
POINT (36.856939973066389 -1.263116801010792),4503959143,,drinking_water,Kwa Jackline,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.856697877097311 -1.26307791341041),4503959139,,drinking_water,Amani,,operational,often,ksh 2 per 20litres,public_community,piped_tap,,yes,,
POINT (36.856570046832381 -1.262887696456098),4502126575,,drinking_water,Festo,,operational,,ksh. 2 per 20 Litres,,piped_tap,yes,,"05:00-06:00,19:00-22:00",
POINT (36.856757525232183 -1.263066058529811),1038064488,,drinking_water,,,non_operational,,ksh. 2 per 20 Litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.856926947494763 -1.262808125053692),4502126582,,drinking_water,,,operational,,ksh. 2 per 20 Litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.857718542923131 -1.26307441083206),4503959146,,drinking_water,Kwa Monicah Achieng,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.857680723849668 -1.262974901680982),4503959142,,drinking_water,Kwa Edward Otieno,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.857654313380316 -1.262305460054732),1204137057,,drinking_water,,,,,2 per 20litres,,piped_tap,yes,,5:30-8:30,private
POINT (36.858157100444835 -1.263408951948324),4503896058,,drinking_water,Konyrikendi Self Help Group,,,never,,public_community,water_tank,,yes,,
POINT (36.858414916931373 -1.263132876947031),4503959147,,drinking_water,New Ghetto Rangers,,operational,often,Ksh. 2 per 20 Litres,public_community,water_tank,yes,,,
