wkt_geom,time,name,type,desc
Point (36.91616799999999898 -1.28290999999999999),2016-05-25,Holiness Living Church,church,enhances character change and promotes security as well
Point (36.91597000000000151 -1.28278399999999992),2016-05-25,Truth and Holiness International,church,character change enhancement and promotes security as well
Point (36.91559699999999822 -1.282605),2016-05-25,I.P.C Independent Church,church,character change enhancement and promotes security as well
Point (36.91475100000000253 -1.28218999999999994),2016-05-25,Zion Temple Global Ministry,church,character change enhancement and promotes security as well
Point (36.9140340000000009 -1.28183899999999995),2016-05-25,Holy Christian Fellowship,church,character change enhancement and promotes security as well
Point (36.91378199999999765 -1.2817099999999999),2016-05-25,Grace Bible Church,church,character change enhancement and promotes security as well
Point (36.91375099999999776 -1.2817130000000001),2016-05-25,D.C.F.F Disciples of Christ,church,character change enhancement and promotes security as well
Point (36.91368700000000302 -1.28156099999999995),2016-05-25,Jesus Celebration Church,church,"enhances behaviour change,security as well as promotes peace"
Point (36.91423799999999744 -1.28241899999999998),2016-05-25,King Jesus Faith Ministries International,church,"enhances behaviour change,security as well as promotes peace"
Point (36.91469000000000023 -1.28266600000000008),2016-05-25,Revelation Miracle Centre,church,character change enhancement and promotes security as well
Point (36.91546900000000164 -1.28306300000000006),2016-05-25,Jesus is Alive Ministries,church,character change enhancement and promotes security as well
Point (36.91605299999999801 -1.28357800000000011),2016-05-25,Jehovah Shammah Miracle Centre,church,"spiritual nourishment ,peace building and security as well"
Point (36.91604999999999848 -1.28358299999999992),2016-05-25,Bahati Ministry,church,"spiritual nourishment ,peace building and security as well"
Point (36.91598199999999963 -1.28378100000000006),2016-05-25,Chosen Centre Action Ministry,church,"spiritual nourishment ,peace building and security as well"
Point (36.91605299999999801 -1.28397699999999992),2016-05-25,Church of Christ,church,"spiritual nourishment ,peace building and security as well"
Point (36.91529899999999742 -1.28353800000000007),2016-05-25,Glorious Christian Church,church,character change enhancement and promotes security as well
Point (36.91430199999999928 -1.2831490000000001),2016-05-25,Jesus Knows Ministry,church,"enhances behaviour change,security as well as promotes peace"
Point (36.9142399999999995 -1.28326699999999994),2016-05-25,Cathedral of Praise Ministry,church,"spiritual nourishment ,peace building and security as well"
Point (36.91425499999999715 -1.28319300000000003),2016-05-25,Ten Commandments of God[Sinai Church],church,"spiritual nourishment ,peace building and security as well"
Point (36.91460599999999914 -1.28372200000000003),2016-05-25,River of Deliverance Ministry,church,"spiritual nourishment ,peace building and security as well"
Point (36.91641200000000111 -1.28466799999999992),2016-05-25,A.D.C Church,church,"enhances behaviour change,security as well as promotes peace"
