WKT,osm_id,access,amenity,man_made,name,operator,operational_status,watsan:cost,watsan:location,watsan:type,watsan:water_private,watsan:water_public,opening_hours,operator:type
POINT (36.775490983896667 -1.314811910605882),2429045842,,drinking_water,,Caroline atieno,,,,,,,,,
POINT (36.775959095991219 -1.314830321220549),2429045867,,drinking_water,,,,,,,,,,,
POINT (36.775482090575352 -1.314348142687277),2429045844,,drinking_water,,Francis oduor,,,,,,,,,
POINT (36.775946699240301 -1.314512491126851),1367567694,,drinking_water,,WSUP (Lucas),,bad,,,Water Kiosk,,,,Individual
POINT (36.776326147616309 -1.314689233043222),2429045841,,drinking_water,,Baba nyambura,,,,,,,,,
POINT (36.776328303572988 -1.314645137373185),769073198,private,drinking_water,,,,operational,Ksh 4 per20litre can,public_community,water_tank,yes,,07:00-19:00,private
POINT (36.776590791299007 -1.3147450037368),941480442,yes,drinking_water,,,,operational,2sh per 20liter can,,,,yes,06:00-19:30,ngo_cbo
POINT (36.776496288531121 -1.314450703299462),2429045843,,drinking_water,,Elly,,,,,,,,,
POINT (36.776513895510689 -1.314417923419504),2105336483,,drinking_water,,Water tap,,operational,Ksh 4 per20litre can,,,,yes,07:00-21:00,private
POINT (36.774546764701519 -1.313578578729947),769112066,yes,drinking_water,,FNV Water Point,,operational,3 per 20 litre can,,,,yes,07:00-19:00,ngo_cbo
POINT (36.774655820177017 -1.312956928222815),2438886375,,drinking_water,,,,,,,,,,,
POINT (36.774901778901814 -1.313518587037929),4734967921,,drinking_water,,,,,,,,,,,
POINT (36.774930614822431 -1.31348625618536),2444298686,,drinking_water,,,,,,,,,,,
POINT (36.775091053932172 -1.3133667218351),2438886416,,drinking_water,,,,,,,,,,,
POINT (36.775151869876908 -1.313015123769474),2438886378,,drinking_water,,,,,,,,,,,
POINT (36.775758142862159 -1.314238038207517),2429045856,,drinking_water,,,,,,,,,,,
POINT (36.775844381129438 -1.314052944124133),2429045854,,drinking_water,,,,,,,,,,,
POINT (36.775643158505794 -1.313609831886293),2438886481,,drinking_water,,,,,,,,,,,
POINT (36.776179273067349 -1.31413889028683),769074490,yes,drinking_water,,Soweto Beautyfire Self-Help Group,,non_operational,2sh per 20litre can,,,,yes,06:00-19:00,ngo_cbo
POINT (36.776313211876214 -1.31358962510422),2433443514,,drinking_water,,Eunice adhiambo,,,,,,,,,
POINT (36.775653129805448 -1.313341395999069),2438886411,,drinking_water,,,,,,,,,,,
POINT (36.775675318192967 -1.31325886251039),2438886406,,drinking_water,,,,,,,,,,,
POINT (36.775817521502439 -1.313491644660809),2438886428,,drinking_water,,,,,,,,,,,
POINT (36.775855969396602 -1.313479610398949),2438886423,,drinking_water,,,,,,,,,,,
POINT (36.775852465966992 -1.313428330073436),769108789,yes,drinking_water,,Kianda Water Tank,,closed,,,,,yes,,private
POINT (36.775468885340672 -1.312938876826112),2438886371,,drinking_water,,,,,,,,,,,
POINT (36.775743679986086 -1.313178035369757),2438886394,,drinking_water,,,,,,,,,,,
POINT (36.775956311213839 -1.312872508754558),2438933728,,drinking_water,,,,,,,,,,,
POINT (36.776453169397485 -1.313186926355364),2433443617,,drinking_water,,,,,,,,,,,
POINT (36.778202279087189 -1.317111440230238),769158955,private,drinking_water,,,,operational,2 shillings per head,,,yes,,06:00-20:00,private
