WKT,osm_id,access,amenity,name,operator,operational_status,watsan:cost,opening_hours,operational_status:electricity,operator:type
POINT (36.800180820154573 -1.31444881733379),795842009,yes,toilets,,,operational,ksh 3,Mo-Su 05:00-20:00,,private
POINT (36.799928573222793 -1.314169784204563),612009112,,toilets,,CBO,,,,,
POINT (36.798738574965924 -1.313483741563475),771218442,,toilets,,,operational,N/A,,,private
POINT (36.794011909435469 -1.3121990388733),612008956,yes,toilets,Ushirika,Ushirika,operational,ksh 3,Mo-Fr 05:00-20:00,,ngo_cbo
POINT (36.795529972434103 -1.312737886639173),771235533,,toilets,,,operational,,,,unknown
POINT (36.795177383685086 -1.311057040457865),771208481,yes,toilets,,,operational,Ksh 3 per 20 litres,Mo-Su 05:00-20:00,,private
POINT (36.795880944215611 -1.310952144698082),612009159,yes,toilets,,,"operational,bad",,,,private
POINT (36.796054588560033 -1.312707441743498),612008970,yes,toilets,,,operational,ksh 3,,,
POINT (36.796398194156204 -1.312560246505179),771235545,private,toilets,,,operational,,Mo-Su 08:30-20:00,,private
POINT (36.796575072435644 -1.312188441532751),771235560,private,toilets,,,operational,,Mo-Su 08:30-20:00,,private
POINT (36.796070578572085 -1.311790322765474),771235542,yes,toilets,,,closed,,Mo-Su 08:30-20:00,,private
POINT (36.798632214436275 -1.31257012538051),1768443467,,toilets,,,,,,,
POINT (36.798067623280211 -1.312387096756779),771235531,private,toilets,,,"bad, stinking",,24/7,,private
POINT (36.798094572738734 -1.312386827332883),771235529,private,toilets,,,"bad, stinking",,24/7,,private
POINT (36.797547408899177 -1.312135993677114),771235522,private,toilets,,,operational,,Mo-Su 05:00-20:00,,private
POINT (36.79618556292845 -1.311273836988577),612007709,yes,toilets,,C.D.F Public Toilets,operational,ksh 3,Mo-Fr 05:00-20:00,,private
POINT (36.784915928194593 -1.306729458064846),948042740,yes,toilets,Bunkers,,,,,,
POINT (36.784780013092103 -1.306055447683917),941480067,yes,toilets,,,operational,,06:00-18:00,,ngo_cbo
POINT (36.786328708641918 -1.306534394719372),769076605,private,toilets,,,bad,,06:00-20:00,,private
POINT (36.786721721578729 -1.306314993341678),772439558,private,toilets,,,operational,"Nill, paid inclusive in with rent",07:00-18:00,,private
POINT (36.790141158707726 -1.307151736028814),612009278,,toilets,,public toilet,,,,,
