WKT,osm_id,amenity,denomination,name,religion,operational_status,opening_hours,operator:type
POINT (36.780400456587437 -1.314175711525948),612007567,place_of_worship,catholic,Olympic Catholic Church,christian,,Su 07:00-16:00,
POINT (36.773726423184065 -1.311535178266154),612006975,place_of_worship,protestant,Salvation Army,christian,,Tu-Su 08:00-15:00; Sa 08:00-12:00,
POINT (36.773853265302186 -1.310965526092338),612008761,place_of_worship,,Kibera All Nations Church,christian,,Su 08:00-18:00,
POINT (36.775135969696379 -1.312512648287172),662799891,place_of_worship,,Outreach Community Church,christian,,,
POINT (36.77517369893831 -1.311842411396429),612009450,place_of_worship,,St George Orthodox Church,christian,,Su 09:00-12:00,
POINT (36.775523682573002 -1.312688941305234),1809764835,place_of_worship,,Outreach Community Church,christian,,,
POINT (36.776181878181674 -1.312317944623617),612008769,place_of_worship,,Apostles Believers Church,christian,,Su 08:00-18:00,
POINT (36.776544258567299 -1.311537154042028),612008772,place_of_worship,pentecostal,Pentecostal Fellowship Church,christian,,,
POINT (36.774115573365144 -1.311313891357977),612009831,place_of_worship,,Jamhuri Church of Christ,christian,,,
POINT (36.774143421138952 -1.310667902313197),1804804139,place_of_worship,protestant,Diet of the word Church,christian,,,
POINT (36.771906346586917 -1.308598006084285),612009215,place_of_worship,catholic,,christian,,,
POINT (36.7719679710154 -1.308229253999544),612009213,place_of_worship,,jamhuri sda church,christian,,,
POINT (36.77267701126916 -1.307405803276629),612009224,place_of_worship,,sodid rock revival church,christian,,,
POINT (36.775869174631275 -1.30912203629169),612008497,place_of_worship,,Ayany Mosque,muslim,,,
POINT (36.774178904592681 -1.308489517897428),612008496,place_of_worship,protestant,The door fellowship church,christian,,Su 08:00-18:00,
POINT (36.777285728002809 -1.312731600082585),612007604,place_of_worship,,Berith Life Church,christian,,08:00-16:00,
POINT (36.779732918499803 -1.311353945726728),1999501745,place_of_worship,lutheran,Springs of Life Lutheran Church,christian,,,
POINT (36.779774151171345 -1.310735886987645),612008402,place_of_worship,presbyterian,P.C.E.A Emmanuel Centre Kibera Parish,christian,operational,08:00-20:00,religious
POINT (36.780427046719844 -1.310120163105204),612008912,place_of_worship,,Alaqsa Mosque,muslim,,,
POINT (36.782019490224002 -1.310844375077278),612008911,place_of_worship,,Masjid Jamia Salama Mosque,muslim,,,
POINT (36.782023352979721 -1.307715910773301),612008914,place_of_worship,protestant,New Hife Home Missionary,christian,operational,08:30-17:30,faith_based_organization
POINT (36.776858219759092 -1.306354598749386),1875796678,place_of_worship,pentecostal,Chrisco church,christian,,,
POINT (36.780074547802357 -1.303326354903598),1874197670,place_of_worship,,,christian,,,
POINT (36.780189801653307 -1.303756446758789),1875796686,place_of_worship,pentecostal,Winners chapel int-nairobi,christian,,,
POINT (36.782791951536815 -1.313783340781655),612009370,place_of_worship,protestant,Church of Mercy,christian,,09:00-15:00,
POINT (36.783894453885019 -1.31422097470695),2115330630,place_of_worship,pentecostal,Kibera P.A.G Gatwekera,christian,,,
POINT (36.785518518087173 -1.314692106895413),612008463,place_of_worship,protestant,Nyumba ya Maombi,christian,,Mo-Fr 08:30-20:00,
