WKT,osm_id,access,amenity,name,operator,watsan:cost,watsan:location,watsan:type,opening_hours
POINT (36.874248172971626 -1.31024284089199),1446059259,,toilets,Glory hardware,freshlife toilets,,,,
POINT (36.875316269844447 -1.310182849119988),1446059317,,toilets,,Public toilet,,,,
POINT (36.873837912381369 -1.309933362364154),1446059253,,toilets,,Lunga lunga bio centre,,,,
POINT (36.873800452634022 -1.309816522085855),1999653272,,toilets,,Bio-centre(lungalunga),,,,
POINT (36.877127453120281 -1.310792645657635),1446059263,,toilets,,Public toilet,,,,
POINT (36.877081459377742 -1.31049475243386),1446059249,,toilets,,Mukuru wash project toilet/bathrooms,,,,
POINT (36.880638159082153 -1.312321177710413),2296771619,,toilets,fresh_life_toilet,,"adult_ksh_5,children_ksh_2",,public_toilet,06:00-18:30
POINT (36.875810163587659 -1.309857384751066),1446059244,,toilets,,Public toilet,,,,
POINT (36.876448057270906 -1.309770630168771),1446059330,,toilets,,Public toilet,,,,
POINT (36.877421292049725 -1.309582661896834),1446059296,,toilets,,Public toilet,,,,
POINT (36.878990648851079 -1.309781317327624),5704456197,,toilets,,,,,,
POINT (36.878927676949665 -1.309161012998543),1446059283,,toilets,,Public toilet/water tank,,,,
