WKT,osm_id,amenity,name,operator,operational_status,watsan:availability,watsan:type,watsan:water_public,opening_hours
POINT (36.851320292311989 -1.314923901025667),3885770222,drinking_water,,Tom,,often,piped_tap,,
POINT (36.851571281602368 -1.314860047627344),3885770221,drinking_water,,charles,,often,piped_tap,,
POINT (36.851472916078762 -1.31482915371816),3885770219,drinking_water,,jacqueline,,often,piped_tap,,
POINT (36.851479653443391 -1.314822507935311),3885770218,drinking_water,,senior soldier,,often,piped_tap,,
POINT (36.850923147124881 -1.314420527848345),3885770212,drinking_water,,karish,,often,piped_tap,,
POINT (36.851115656090272 -1.314445314826074),3885770213,drinking_water,,karish,,often,piped_tap,,
POINT (36.851022770289887 -1.314391250475758),3885770210,drinking_water,,karish,,often,piped_tap,,
POINT (36.848355312885225 -1.312795004495539),2024563621,drinking_water,,,operational,,piped_tap,yes,
POINT (36.848185621128053 -1.312688222841607),1499916453,drinking_water,,,,,,,
POINT (36.848796385689724 -1.312802997403023),2024563622,drinking_water,,,operational,,piped_tap,yes,
POINT (36.849502102176928 -1.312083456012409),2024563617,drinking_water,,,operational,,piped_tap,yes,
POINT (36.84989834904875 -1.312858947754595),1486028902,drinking_water,,,,,,,
POINT (36.849871489421758 -1.312540578562387),1493484945,drinking_water,,,,,,,
POINT (36.850168562286214 -1.312520641195534),1493484962,drinking_water,,,,,,,
POINT (36.850321006389933 -1.312834340377013),1493484967,drinking_water,,,,,,,
POINT (36.850552322575595 -1.312830927674994),1493484966,drinking_water,,,,,,,
POINT (36.850145924741057 -1.31189791272958),1493484958,drinking_water,,,,,,,
POINT (36.867590488906437 -1.311818342856729),1432508107,drinking_water,riverside waterpoint,,,,,,
POINT (36.86821778246933 -1.311276261804664),1432508109,drinking_water,water point,,,,,,
POINT (36.870012346912418 -1.311209534456978),1446059338,drinking_water,Water point/public toilet,,,,,,
POINT (36.868760993721637 -1.310614286921355),1446059198,drinking_water,Water chamber,,,,,,
POINT (36.874304048182296 -1.317164875867053),1432508117,drinking_water,,,,,,,
POINT (36.874639029951751 -1.31660330768028),1432508114,drinking_water,,,,,,,
POINT (36.874797941925507 -1.316386152380786),1432508113,drinking_water,,,,,,,
POINT (36.875226797642149 -1.316943589457701),1432508115,drinking_water,,,,,,,
POINT (36.87533872772655 -1.316763524812202),1432508072,drinking_water,,,,,,,
POINT (36.876153589520776 -1.316317718820954),1432508112,drinking_water,,,,,,,
POINT (36.877034477488387 -1.316953019276675),1432508116,drinking_water,,,,,,,
POINT (36.87081050004236 -1.310986990207802),1446059292,drinking_water,Water point,,,,,,
POINT (36.870177906419286 -1.310744957597979),1446059232,drinking_water,Water point,,,,,,
POINT (36.87111862218481 -1.310607551319273),1446059207,drinking_water,Water point,,,,,,
POINT (36.873639474535111 -1.311720721575878),1446059269,drinking_water,Water point,,,,,,
POINT (36.875407898003424 -1.311123408577586),1446059192,drinking_water,water point,,,,,,
POINT (36.875347171890219 -1.310349353226157),1446059227,drinking_water,Water point,,,,,,
POINT (36.875464671529379 -1.310414374244117),1446059209,drinking_water,Water point,,,,,,
POINT (36.874934575680221 -1.31008702393629),1446059229,drinking_water,Water point,,,,,,
POINT (36.875930897161844 -1.311071409739683),1446059217,drinking_water,Water point,,,,,,
POINT (36.876476084707768 -1.310685414878136),1446059323,drinking_water,Water point,,,,,,
POINT (36.87808245209883 -1.309422803536924),1446059203,drinking_water,Water point,,,,,,
POINT (36.87883874373653 -1.309348801685956),1446059211,drinking_water,Water point,,,,,,
POINT (36.882395982430118 -1.308054936446221),5704456204,water_point,,,,,,,
