WKT,osm_id,amenity,area,barrier,leisure,name,operator:type
POINT (36.875249884344946 -1.256079662649894),1111566365,school,,,,ARK PRIMARY SCHOOL,
POINT (36.870461953712116 -1.25348388459357),6445111407,school,,gate,,New Mercy Care Secondary School,private
POINT (36.871034000885047 -1.253688561647626),6445077906,school,,,,Mogra Star Primary And Secondary Schools,
POINT (36.871059962196753 -1.253508941592274),6445132393,school,,gate,,New Mercy Care Primary School,private
POINT (36.870435992400409 -1.252922931076023),6445081216,school,,gate,playground,St Maurus,religious
POINT (36.875360377124899 -1.254815587403634),1111566433,school,,,,THAYU YOUTH CENTER,
POINT (36.876289145297143 -1.256850142032947),1111566381,school,,,,Soldier OF FAITH Educational Centre,
POINT (36.877958484589627 -1.257788745296419),1038195571,school,,,,Kariobangi Adventist Educational Centre,
POINT (36.878321044638291 -1.255346274556579),1123209273,college,,,,Seniors Driving School,
POINT (36.878631951558127 -1.256512905776578),6445077911,school,,gate,playground,Kenya Muslim Academy,private
POINT (36.876941861182587 -1.253550613446204),1123209344,school,,,,,
POINT (36.877319962085672 -1.253688920887715),6445111410,school,,gate,playground,Valleybridge Primary School,government
POINT (36.877709291929811 -1.253709217953204),1123209300,school,,,,Sunflower Nursery School,
POINT (36.877822030497967 -1.25348388459357),6445077909,school,,gate,playground,Sunflower Academy,private
POINT (36.870982976576911 -1.252255911743438),6445081212,school,,gate,,Stella Marris Community Education Centre,private
POINT (36.871295320801195 -1.251764920024462),1111586880,school,,,,Precious Kids Academy,
POINT (36.873813029047994 -1.25194588735064),6445111408,school,,gate,playground,Star Of Hope Secondary School,private
POINT (36.875422001553389 -1.25175890274839),6445111403,school,,gate,,Kasarani Victory Academy,private
POINT (36.874740988736491 -1.251264947202806),6445132388,school,,gate,,Blossom Children's Centre,cbo
POINT (36.875382745175472 -1.251561410351425),1038219156,school,,,,Brain House Academy,
POINT (36.875060968640696 -1.251216898794764),6445111409,school,,gate,,Miracle Junoir,private
POINT (36.87546601900231 -1.251097900397242),6445077904,school,,gate,playground,The Brainhouse School,private
POINT (36.874154119361378 -1.250461775287113),1038219184,college,,,,Seniors Driving School,
POINT (36.874386962683026 -1.250440939335677),6445081211,school,,gate,,Rising Star Education Center,private
POINT (36.874368547219696 -1.250350231096898),6445111404,school,,gate,playground,Pillar Of Hope Education Centre,cbo
POINT (36.873655823873278 -1.249358996406096),1111586829,school,,,,Proposed Ruaraka Girls High School,
POINT (36.875359119483498 -1.249664081545586),1111587105,school,,,,Mathare North Manonite,
POINT (36.875751862925711 -1.251225610375359),1038219164,kindergarten,,,,S.T Stephen Nursery,
POINT (36.876240007451109 -1.250972256045631),1038219177,school,,,,Brain House High School,
POINT (36.876160506548459 -1.250026734956443),1111587117,kindergarten,,,,United Fellowship Center,
POINT (36.87664056623629 -1.250292213746501),1111586949,school,,,,Alfa Riviera Secondary School,
POINT (36.876739021591433 -1.249893905741182),6445077908,school,,gate,,Newlight Academy,private
POINT (36.876872960400298 -1.249873878076639),6445081218,school,,gate,,Mathare Methodist Education Center,religious
POINT (36.877382574660977 -1.249741946955265),1111586831,school,,,,St Samuel Orphans School,
POINT (36.876624306729653 -1.249367348752161),1111586844,college,,,,Nomiya Bible Center,
POINT (36.876713329774311 -1.249336454052609),1111587134,school,,,,Light House Grace Academy,
